Week,Distance,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Training Week 1,16 mi,"2025-10-20: Rest or cross-training","2025-10-21: General aerobic 4 mi","2025-10-22: Rest or cross-training","2025-10-23: General aerobic 3 mi","2025-10-24: General aerobic 3 mi","2025-10-25: Rest or cross-training","2025-10-26: Endurance 6 mi"
Training Week 2,18 mi,"2025-10-27: Rest or cross-training","2025-10-28: General aerobic 4 mi","2025-10-29: Rest or cross-training","2025-10-30: General aerobic 4 mi","2025-10-31: General aerobic 3 mi","2025-11-01: Rest or cross-training","2025-11-02: Endurance 7 mi"
Training Week 3,18 mi,"2025-11-03: Rest or cross-training","2025-11-04: General aerobic 4 mi","2025-11-05: Rest or cross-training","2025-11-06: General aerobic 4 mi","2025-11-07: General aerobic 3 mi","2025-11-08: Rest or cross-training","2025-11-09: Endurance 7 mi"
Training Week 4,20 mi,"2025-11-10: Rest or cross-training","2025-11-11: General aerobic 4 mi","2025-11-12: Rest or cross-training","2025-11-13: General aerobic 5 mi w/ 6 x 100 m strides 5 mi General aerobic 5 mi w/ 6 x 100 m strides 5 mi","2025-11-14: General aerobic 4 mi","2025-11-15: Rest or cross-training","2025-11-16: Endurance 7 mi"
Training Week 5,23 mi,"2025-11-17: Rest or cross-training","2025-11-18: General aerobic 5 mi","2025-11-19: Rest or cross-training","2025-11-20: Lactate threshold 6 mi Lactate threshold 6 mi
16 min tempo run","2025-11-21: General aerobic 4 mi","2025-11-22: Rest or cross-training","2025-11-23: Endurance 8 mi"
Training Week 6,23 mi,"2025-11-24: Rest or cross-training","2025-11-25: General aerobic 5 mi","2025-11-26: Rest or cross-training","2025-11-27: General aerobic + speed 6 mi w/ 6 x 100 m strides 6 mi General aerobic + speed 6 mi w/ 6 x 100 m strides 6 mi","2025-11-28: General aerobic 4 mi","2025-11-29: Rest or cross-training","2025-11-30: Endurance 8 mi"
Training Week 7,25 mi,"2025-12-01: Rest or cross-training","2025-12-02: General aerobic 6 mi","2025-12-03: Rest or cross-training","2025-12-04: Lactate threshold 6 mi Lactate threshold 6 mi
18 min tempo run","2025-12-05: General aerobic 5 mi","2025-12-06: Rest or cross-training","2025-12-07: Endurance 8 mi"
Training Week 8,28 mi,"2025-12-08: Rest or cross-training","2025-12-09: General aerobic 6 mi","2025-12-10: Rest or cross-training","2025-12-11: General aerobic + speed 7 mi w/ 6 x 100 m strides 7 mi General aerobic + speed 7 mi w/ 6 x 100 m strides 7 mi","2025-12-12: General aerobic 6 mi","2025-12-13: Rest or cross-training","2025-12-14: Endurance 9 mi"
Training Week 9,28 mi,"2025-12-15: Rest or cross-training","2025-12-16: General aerobic 6 mi","2025-12-17: Rest or cross-training","2025-12-18: Lactate threshold 7 mi Lactate threshold 7 mi
20 min tempo run","2025-12-19: General aerobic 6 mi","2025-12-20: Rest or cross-training","2025-12-21: Endurance 9 mi"
Final Training Week!,30 mi,"2025-12-22: Rest or cross-training","2025-12-23: General aerobic 7 mi","2025-12-24: Rest or cross-training","2025-12-25: General aerobic + speed 8 mi w/ 8 x 100 m strides 8 mi General aerobic + speed 8 mi w/ 8 x 100 m strides 8 mi","2025-12-26: General aerobic 6 mi","2025-12-27: Rest or cross-training","2025-12-28: Endurance 9 mi"
