Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Week 1,Easy 6,Q1: Tempo 8 w/ 4 @ Tempo,Recovery 5,Easy 8,Easy 7,Easy 7 w/ 8 x 100 strides,Q2: LR 16 w/ 4 @ MP
Week 2,Easy 7,Q1: VO2Max 5 x 1mi @ 5K pace,Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 18 w/ 6 @ MP
Week 3,Easy 7,Q1: MP 10 w/ 2 x 3 @ Tempo,Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 18
Week 4,Rest,Q1: Tempo 7 w/ 4 @ Tempo,Recovery 5,Easy 7,Easy 7,Easy 7,Q2: LR 14
Week 5,Easy 7,Q1: VO2Max 6 x 1200m @ 5K pace,Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 20 w/ 8 @ MP
Week 6,Easy 7,Q1: Tempo 9 w/ 5 @ Tempo,Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 19
Week 7,Easy 7,Q1: MP 12 continuous,Recovery 6,Easy 8,Easy 7,Easy 7,Q2: LR 20 w/ 10 @ MP
Week 8,Rest,Q1: Tempo 7 w/ 4 @ Tempo,Recovery 5,Easy 7,Easy 7,Easy 7,Q2: LR 16
Week 9,Easy 7,Q1: VO2Max 6 x 1mi @ 5K pace (2-3 min recovery),Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 22
Week 10,Easy 7,Q1: Tempo 10 w/ 6 @ Tempo,Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 20 w/ 12 @ MP
Week 11,Easy 7,Q1: MP 14 w/ 2 x 4 @ MP (1 mi easy between),Recovery 6,Easy 8,Easy 7,Easy 7,Q2: LR 22 w/ 8 @ MP
Week 12,Rest,Q1: Tempo 7 w/ 4 @ Tempo,Recovery 5,Easy 7,Easy 7,Easy 7,Q2: LR 16
Week 13,Easy 7,Q1: VO2Max 6 x 1200m @ 5K pace,Recovery 5,Easy 8,Rest,10K tune-up race,Easy 6
Week 14,Easy 7,Q1: MP 12 w/ 2 x 3 @ Tempo,Recovery 5,Easy 8,Easy 7,Easy 7,Q2: LR 22 w/ 10 @ MP
Week 15,Easy 7,Q1: Tempo 8 w/ 5 @ Tempo,Recovery 5,Easy 7,Easy 7,Easy 7,Q2: LR 20 w/ 8 @ MP
Week 16,Rest,Q1: MP 10 continuous,Recovery 5,Easy 7,Easy 6,Easy 7,Q2: LR 16
Week 17,Easy 6,Q1: Dress Rehearsal 7 w/ 2 @ MP,Recovery 5,Easy 6,Rest,Easy 6,LR 12
Week 18,Rest,Recovery 4,Easy 6,Dress Rehearsal 6 w/ 2 @ MP,Rest,Easy 5,Marathon Race 26.2
