Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Week 1,Rest,Q1: Tempo 5 w/ 3 @ Tempo,Recovery 3,Easy 4,Easy 4,Easy 5 w/ 6 x 100 strides,Q2: LR 12 w/ 3 @ MP
Week 2,Easy 4,Q1: VO2Max 4 x 1mi @ 5K pace,Recovery 3,Easy 5,Easy 4,Easy 5,Q2: LR 14 w/ 4 @ MP
Week 3,Easy 5,Q1: MP 6 w/ 2 x 2 @ Tempo,Recovery 3,Easy 5,Easy 5,Easy 5,Q2: LR 14
Week 4,Rest,Q1: Tempo 5 w/ 3 @ Tempo,Recovery 3,Easy 4,Easy 4,Easy 5,Q2: LR 10
Week 5,Easy 5,Q1: VO2Max 5 x 1000m @ 5K pace,Recovery 4,Easy 5,Easy 5,Easy 5,Q2: LR 16 w/ 5 @ MP
Week 6,Easy 5,Q1: Tempo 6 w/ 4 @ Tempo,Recovery 3,Easy 5,Easy 5,Easy 5,Q2: LR 15
Week 7,Easy 5,Q1: MP 8 continuous,Recovery 4,Easy 6,Easy 5,Easy 5,Q2: LR 16 w/ 6 @ MP
Week 8,Rest,Q1: Tempo 5 w/ 3 @ Tempo,Recovery 3,Easy 5,Easy 4,Easy 5,Q2: LR 12
Week 9,Easy 5,Q1: VO2Max 4 x 1200m @ 5K pace (2-3 min recovery),Recovery 4,Easy 6,Easy 5,Easy 5,Q2: LR 18
Week 10,Easy 5,Q1: Tempo 7 w/ 4 @ Tempo,Recovery 3,Easy 6,Easy 5,Easy 5,Q2: LR 16 w/ 8 @ MP
Week 11,Easy 5,Q1: MP 10 w/ 2 x 3 @ MP (1 mi easy between),Recovery 4,Easy 6,Easy 5,Easy 5,Q2: LR 18 w/ 5 @ MP
Week 12,Rest,Q1: Tempo 5 w/ 3 @ Tempo,Recovery 3,Easy 5,Easy 4,Easy 5,Q2: LR 12
Week 13,Easy 5,Q1: VO2Max 4 x 1mi @ 5K pace,Recovery 4,Easy 5,Rest,10K tune-up race,Easy 5
Week 14,Easy 5,Q1: MP 10 w/ 2 x 2 @ Tempo,Recovery 4,Easy 6,Easy 5,Easy 5,Q2: LR 18 w/ 8 @ MP
Week 15,Easy 5,Q1: Tempo 6 w/ 3 @ Tempo,Recovery 3,Easy 5,Easy 4,Easy 5,Q2: LR 14 w/ 6 @ MP
Week 16,Rest,Q1: MP 8 continuous,Recovery 3,Easy 5,Easy 4,Easy 5,Q2: LR 12
Week 17,Easy 4,Q1: Dress Rehearsal 6 w/ 2 @ MP,Recovery 3,Easy 4,Rest,Easy 4,LR 10
Week 18,Rest,Recovery 3,Easy 4,Dress Rehearsal 5 w/ 2 @ MP,Rest,Easy 3,Marathon Race 26.2
